,Link,Text,Date,Likes,Comments,Opinion
0,https://twitter.com/imVkohli/status/1817136432445825229#m,olympics recover like a pro with my favourite duroflex duropedic mattress   song  1st place medal chalice toh song zaroori hai  sleeping face   duroflex world  iis vijayanagar,"Jul 27, 2024 · 9:54 AM UTC",17816,1088,Positive
1,https://twitter.com/imVkohli/status/1816746907810889922#m,beat the norm  one wrong move at a time  chess pawn    link bit ly 46q63vy  staywrogn  wrognlikeaboss  staywrogn,"Jul 26, 2024 · 8:06 AM UTC",16169,1044,Positive
2,https://twitter.com/imVkohli/status/1815259292892885053#m,that's it   heydigit    astonished face  visit digit com to cover your bike or car and experience the magic of smooth claims  just like i did  grinding face with big eyes   thatsdigit  dothedigit,"Jul 22, 2024 · 5:35 AM UTC",22213,1104,Positive
3,https://twitter.com/imVkohli/status/1813092455648227465#m,upgrade to next generation cooling with blue star rf lite   the perfect solution when you want efficient cooling in all your rooms while maintaining the aesthetics of your home    bluestar  ad  aesthetics  nextgen  nextgencooling  compactacsystem  efficientcooling,"Jul 16, 2024 · 6:05 AM UTC",20494,1122,Positive
4,https://twitter.com/imVkohli/status/1812722597177741504#m,from dreams to medals  sports medal  it's time to back our athletes as they step foot into paris  raised fist medium light skin tone  India   iis vijayanagar  staywrogn  jaihind  weareteamindia  paris20roadtoparis20staywrogn,"Jul 15, 2024 · 5:35 AM UTC",83799,1861,Positive
5,https://twitter.com/imVkohli/status/1810548379275170120#m,the journey of building my alibaug home has been a seamless experience  and seeing it all come together is truly gratifying  huge thanks to the entire ava team for making our dream home a reality  can't wait to enjoy every moment here with my loved ones   avaswellness  baughofwonders  alibaug  avasxvirat,"Jul 9, 2024 · 5:35 AM UTC",101401,2087,Positive
6,https://twitter.com/imVkohli/status/1809120208390430843#m,deep respect and heartfelt thanks to all the officers and staff of  mumbaipolice    cpmumbaipolice for doing a phenomenal job during team india s victory parade  your dedication and service is highly appreciated  folded hands medium light skin tone  jai hind   salting face  India ,"Jul 5, 2024 · 7:00 AM UTC",264837,2823,Positive
7,https://twitter.com/imVkohli/status/1807775808099872860#m,dear  narendramodi sir  thank you so much for your very kind words and your support and encouragement always  it has been a privilege to be a part of this team which has brought the cup home  we are deeply touched   overwhelmed with the happiness it has bought the entire nation ,"Jul 1, 2024 · 1:58 PM UTC",248278,3642,Positive
8,https://twitter.com/imVkohli/status/1796415469471359443#m,dive into the hues of my travels with this brand new collection from  amtouristerin  raising hands  fire  pitched fingers   here s me adding some personality to my vacations   travelwithamericantourister  americantouristerindia  americantourister,"May 31, 2024 · 5:36 AM UTC",26544,1883,Negative
9,https://twitter.com/imVkohli/status/1796143545201406183#m,playing with a t rex  no bigger   T Rex  cup with straw  mantra's end of reason sale  now that's a big deal   shopping bags  go on  shop like a boss    link bit ly 3up37n   staywrogn  mantra   wrognlikeaboss  myntrasale  endofreasonsale  staywrogn,"May 30, 2024 · 11:36 AM UTC",28001,889,Positive
10,https://twitter.com/imVkohli/status/1796053148676632666#m, flying saucer  out of this world deals are here   link bit ly 3uyqhqr the sale starts tonight  hurry before the aliens get them   alien  chess pawn   staywrogn  mantra  flipkart   wrognthrowawayfestival  shoplikeaboss  alienapproved  staywrogn,"May 30, 2024 · 5:36 AM UTC",18144,474,Positive
11,https://twitter.com/imVkohli/status/1795350737305866435#m,you know what s the biggest challenge in cricket  the next one  the biggest of them all   and to prepare for that you need to fuel your stamina   the all new boost milkshake  fuel up    collar  boost  secretofmyenergy  stamina  boostindia,"May 28, 2024 · 7:05 AM UTC",24476,793,Positive
12,https://twitter.com/imVkohli/status/1794986154913357943#m,unleash the magic   pick play persoanlise wherever you go  the all new american tourist backpack collection is as unique as your child's imagination   get ready to turn heads and spread smiles wherever you go  grab the all new collection at https   www americantourister in backpack  travelwithamericantourister  americantouristerindia  americantourister,"May 27, 2024 · 6:57 AM UTC",18438,394,Positive
13,https://twitter.com/imVkohli/status/1794613944910483576#m,just got saved from the heatwave by o can fruit water  try cool summer flavours  strawberry lime  topic pineapple   lively lichen  bursting with taste  vitamin c  b vitamins   minerals  dive in now  available at oceanbeverages in or stores near you   oceanbeverages  ad,"May 26, 2024 · 6:18 AM UTC",18103,584,Positive
14,https://twitter.com/imVkohli/status/1787724797306421487#m,watch how i welcome some unwanted visitors this summer with my blue star fast cooling inverter ac   garmikichhutti  bluestar  fastcoolingac  summer  ad,"May 7, 2024 · 6:03 AM UTC",21781,971,Positive
15,https://twitter.com/imVkohli/status/1786992005404414109#m,any suggestions on what we can do about him   downcast face with sweat   link  bit ly 44tu8k3,"May 5, 2024 · 5:31 AM UTC",6720,159,Positive
16,https://twitter.com/imVkohli/status/1786991981350015111#m,the self proclaimed master of mischief  is making sure everything goes wrong    link bit ly 3lynx,"May 5, 2024 · 5:31 AM UTC",7313,157,Neutral
17,https://twitter.com/imVkohli/status/1786991968083489195#m,monster murphy is at it again  man facepalming medium light skin tone   link bit ly 44dlg,"May 5, 2024 · 5:31 AM UTC",18347,541,Positive
18,https://twitter.com/imVkohli/status/1786290879151694230#m,crafted for you  created by me   presenting my first collaboration where i co designed the limited edition philip beard trimmed  this trimmed is a fusion of philip  cutting edge technology and my artistic style which gives you a perfect trim without any picks  what are you waiting for  get one for yourself today ,"May 3, 2024 · 7:05 AM UTC",13081,453,Positive
