,Link,Text,Date,Likes,Comments
0,https://twitter.com/imVkohli/status/1817136432445825229#m,Olympians recover like a pro with my favourite Duroflex Duropedic mattress!  Sona 🥇chahiye toh sona zaroori hai 😴 @Duroflex_world @IIS_Vijayanagar,"Jul 27, 2024 · 9:54 AM UTC",17816,1088
1,https://twitter.com/imVkohli/status/1816746907810889922#m,"Beat the norm, one Wrogn move at a time.♟️  🔗bit.ly/46q63Vy @StayWrogn #WrognLikeABoss #StayWrogn","Jul 26, 2024 · 8:06 AM UTC",16169,1044
2,https://twitter.com/imVkohli/status/1815259292892885053#m,"That's it, @heydigit ? 😲 Visit godigit.com to cover your bike or car and experience the magic of smooth claims, just like I did 😃 #thatsdigit #dothedigit","Jul 22, 2024 · 5:35 AM UTC",22213,1104
3,https://twitter.com/imVkohli/status/1813092455648227465#m,Upgrade to next-generation cooling with Blue Star VRF Lite - the perfect solution when you want efficient cooling in all your rooms while maintaining the aesthetics of your home.  #BlueStar #Ad #Aesthetics #Nextgen #NextgenCooling #CompactAcSystem #EfficientCooling,"Jul 16, 2024 · 6:05 AM UTC",20494,1122
4,https://twitter.com/imVkohli/status/1812722597177741504#m,From dreams to medals.🏅 It's time to back our athletes as they step foot into Paris!✊🏼🇮🇳 @IIS_Vijayanagar @StayWrogn #JaiHind #WeAreTeamIndia #Paris2024 #RoadToParis2024 #StayWrogn,"Jul 15, 2024 · 5:35 AM UTC",83799,1861
5,https://twitter.com/imVkohli/status/1810548379275170120#m,"The journey of building my Alibaug home has been a seamless experience, and seeing it all come together is truly gratifying. Huge thanks to the entire Avas team for making our dream home a reality. Can't wait to enjoy every moment here with my loved ones! #avaswellness #baughofwonders #alibaug #avasxvirat","Jul 9, 2024 · 5:35 AM UTC",101401,2087
6,https://twitter.com/imVkohli/status/1809120208390430843#m,Deep respect and heartfelt thanks to all the officers and staff of @MumbaiPolice & @CPMumbaiPolice for doing a phenomenal job during Team India’s Victory Parade. Your dedication and service is highly appreciated.🙏🏼 Jai Hind !🫡🇮🇳,"Jul 5, 2024 · 7:00 AM UTC",264837,2823
7,https://twitter.com/imVkohli/status/1807775808099872860#m,"Dear @narendramodi sir, thank you so much for your very kind words and your support and encouragement always. It has been a privilege to be a part of this team which has brought the cup home. We are deeply touched & overwhelmed with the happiness it has bought the entire nation.","Jul 1, 2024 · 1:58 PM UTC",248278,3642
8,https://twitter.com/imVkohli/status/1796415469471359443#m,Dive into the hues of my travels with this brand new collection from @AMtouristerIN 🙌🔥🤌  Here’s me adding some personality to my vacations! #TravelWithAmericanTourister #AmericanTouristerIndia #AmericanTourister,"May 31, 2024 · 5:36 AM UTC",26544,1883
9,https://twitter.com/imVkohli/status/1796143545201406183#m,"Playing with a T-Rex? No biggie. 🦖🥤 Myntra's End Of Reason Sale? Now THAT'S a big deal. 🛍️ Go on, shop like a boss!  🔗bit.ly/3UZp37N  @StayWrogn @Myntra  #WrognLikeABoss #MyntraSale #EndOfReasonSale #StayWrogn","May 30, 2024 · 11:36 AM UTC",28001,889
10,https://twitter.com/imVkohli/status/1796053148676632666#m,🛸 Out-of-this-world deals are here! 🔗bit.ly/3UYqhQR The sale starts tonight! Hurry before the aliens get them! 👽♟️ @StayWrogn @Myntra @FlipKart  #WrognThrowawayFestival #ShopLikeABoss #AlienApproved #StayWrogn,"May 30, 2024 · 5:36 AM UTC",18144,474
11,https://twitter.com/imVkohli/status/1795350737305866435#m,You know what’s the biggest challenge in cricket? The next one. The biggest of them all.  And to prepare for that you need to fuel your stamina.  The all new boost milkshake. Fuel up.  #collab #Boost #SecretOfMyEnergy #Stamina #BoostIndia,"May 28, 2024 · 7:05 AM UTC",24476,793
12,https://twitter.com/imVkohli/status/1794986154913357943#m,"Unleash the magic!  PICK PLAY PERSOANLISE wherever you go! The all new American Tourister backpack collection is as unique as your child's imagination!  Get ready to turn heads and spread smiles wherever you go, grab the all new collection at https://www.americantourister.in/backpacks #TravelWithAmericanTourister #AmericanTouristerIndia #AmericanTourister","May 27, 2024 · 6:57 AM UTC",18438,394
13,https://twitter.com/imVkohli/status/1794613944910483576#m,"Just got saved from the heatwave by O’cean Fruit Water! Try cool summer flavours: Strawberry Lime, Tropic Pineapple & Lively Lychee. Bursting with taste, Vitamin C, B vitamins & minerals. Dive in now! Available at oceanbeverages.in or stores near you. @OceanBeverages #ad","May 26, 2024 · 6:18 AM UTC",18103,584
14,https://twitter.com/imVkohli/status/1787724797306421487#m,Watch how I welcome some unwanted visitors this summer with my Blue Star Fast-Cooling Inverter AC. #GarmiKiChhutti #BlueStar #FastCoolingAC #Summer #Ad,"May 7, 2024 · 6:03 AM UTC",21781,971
15,https://twitter.com/imVkohli/status/1786992005404414109#m,Any suggestions on what we can do about him? 😓 🔗 bit.ly/44tu8K3,"May 5, 2024 · 5:31 AM UTC",6720,159
16,https://twitter.com/imVkohli/status/1786991981350015111#m,"The self proclaimed Master of Mischief, is making sure everything goes wrong!  🔗bit.ly/3JLyNxj","May 5, 2024 · 5:31 AM UTC",7313,157
17,https://twitter.com/imVkohli/status/1786991968083489195#m,Monster Murphy is at it again.🤦🏼‍♂️ 🔗bit.ly/44uXDLG,"May 5, 2024 · 5:31 AM UTC",18347,541
18,https://twitter.com/imVkohli/status/1786290879151694230#m,"Crafted for you, created by me!  Presenting my first collaboration where I co-designed the limited-edition Philips beard trimmer. This trimmer is a fusion of Philips’ cutting edge technology and my artistic style which gives you a perfect trim without any nicks. What are you waiting for? Get one for yourself today!","May 3, 2024 · 7:05 AM UTC",13081,453
